transaction_id,date,product_name,category,quantity,unit_price,payment_type
TXN10674,10/08/2025,Salbutamol Inhaler,  Respiratory ,1,6.51,PRIVATE PRESCRIPTION
TXN10818,06-Aug-2025,Cetirizine 10mg,Allergy,2,1.34,NHS Prescription
TXN10314,25-Dec-2025,Salbutamol Inhaler,Respiratory,1,6.61,private prescription
TXN10447,2025-11-03,  Ibuprofen 200mg ,Pain Relief,1,1.56,NHS PRESCRIPTION
TXN10420,01-Apr-2025,Metformin 500mg,Diabetes,2,1.84,NHS Prescription
TXN10693,2025-05-18,Amoxicillin 250mg,Antibiotics,1,3.21,private prescription
TXN10380,23-Oct-2025,  Paracetamol 500mg ,PAIN RELIEF,2,£1.08,NHS Prescription
TXN10628,29/03/2025,  Salbutamol Inhaler ,  Respiratory ,,6.84,private prescription
TXN10502,04/06/2025,Salbutamol Inhaler,Respiratory,1,£6.28,OTC Sale
TXN10210,2025-07-22,Loratadine 10mg,Allergy,1,£1.39,NHS PRESCRIPTION
TXN10305,02-Dec-2025,Omeprazole 20mg,Gastro,4,£2.08,NHS Prescription
TXN10652,06/10/2025,IBUPROFEN 200MG,PAIN RELIEF,1,£1.47,OTC Sale
TXN11067,04-Apr-2025,Metformin 500mg,Diabetes,1,£1.85,  OTC Sale 
TXN10434,2025-08-16,metformin 500mg,  Diabetes ,1,£2.03,Private Prescription
TXN10272,07-Oct-2025,VITAMIN D 1000IU,Supplements,1,3.43,Private Prescription
TXN10587,07/11/2025,METFORMIN 500MG,Diabetes,1,£1.94,Private Prescription
TXN11187,07-Nov-2025,Salbutamol Inhaler,Respiratory,4,£6.81,NHS Prescription
TXN10066,2025-11-24,CETIRIZINE 10MG,Allergy,2,1.24,NHS Prescription
TXN10813,26-Jun-2025,Amoxicillin 250mg,antibiotics,1,3.38,Private Prescription
TXN10586,2025-03-21,Salbutamol Inhaler,Respiratory,1,7.01,  Private Prescription 
TXN10491,2025-06-28,Ibuprofen 200mg,pain relief,1,,otc sale
TXN10773,2025-05-06,paracetamol 500mg,Pain Relief,1,£1.08,NHS Prescription
TXN10860,17/10/2025,Ibuprofen 200mg,Pain Relief,4,1.49,OTC Sale
TXN11190,28/08/2025,Omeprazole 20mg,Gastro,1,£2.17,OTC Sale
TXN10974,29-Apr-2025,atorvastatin 20mg,Cardiovascular,1,2.81,OTC Sale
TXN10749,2025-07-14,Omeprazole 20mg,Gastro,2,£2.2,Private Prescription
TXN10341,2025-10-16,Omeprazole 20mg,Gastro,1,£2.29,OTC SALE
TXN10795,2025-08-06,Atorvastatin 20mg,Cardiovascular,1,£2.98,OTC SALE
TXN10250,12-Jul-2025,PARACETAMOL 500MG,PAIN RELIEF,1,1.05,NHS Prescription
TXN10391,2025-01-16,Cetirizine 10mg,Allergy,1,1.3,Private Prescription
TXN10525,2025-06-28,Metformin 500mg,Diabetes,3,1.97,OTC Sale
TXN10640,27-Dec-2025,Omeprazole 20mg,Gastro,3,£2.17,Private Prescription
TXN10619,21-Nov-2025,cetirizine 10mg,  Allergy ,1,1.31,otc sale
TXN10129,29-Mar-2025,atorvastatin 20mg,Cardiovascular,2,£3.01,private prescription
TXN10270,22-Feb-2025,Atorvastatin 20mg,Cardiovascular,3,3.02,NHS Prescription
TXN10965,2025-07-18,Metformin 500mg,Diabetes,2,£1.88,OTC Sale
TXN10034,2025-05-01,Cetirizine 10mg,ALLERGY,1,£1.2,PRIVATE PRESCRIPTION
TXN10216,29/01/2025,metformin 500mg,Diabetes,1,1.92,NHS Prescription
TXN10192,2025-02-06,ATORVASTATIN 20MG,Cardiovascular,1,£2.7,NHS PRESCRIPTION
TXN10406,2025-07-15,PARACETAMOL 500MG,pain relief,1,£1.2,NHS PRESCRIPTION
TXN10383,12-Apr-2025,LORATADINE 10MG,Allergy,2,1.41,OTC Sale
TXN11127,2025-10-04,Omeprazole 20mg,Gastro,3,2.05,Private Prescription
TXN11116,2025-01-16,Paracetamol 500mg,Pain Relief,1,1.05,Private Prescription
TXN10178,06-Apr-2025,Metformin 500mg,Diabetes,1,1.88,Private Prescription
TXN10785,16/10/2025,Atorvastatin 20mg,Cardiovascular,2,3.0,Private Prescription
TXN10523,02/03/2025,Metformin 500mg,DIABETES,1,1.85,NHS PRESCRIPTION
TXN10213,2025-05-24,Cetirizine 10mg,Allergy,3,£1.3,private prescription
TXN10500,10/12/2025,atorvastatin 20mg,Cardiovascular,2,3.07,Private Prescription
TXN10848,2025-08-22,Vitamin D 1000IU,Supplements,1,3.47,NHS Prescription
TXN10183,05-Oct-2025,Loratadine 10mg,  Allergy ,2,1.28,Private Prescription
TXN10307,01-Mar-2025,Loratadine 10mg,Allergy,4,1.39,Private Prescription
TXN11173,02/11/2025,vitamin d 1000iu,SUPPLEMENTS,1,£3.59,OTC Sale
TXN10310,13/09/2025,Omeprazole 20mg,Gastro,1,£2.08,OTC Sale
TXN10043,23/05/2025,Ibuprofen 200mg,Pain Relief,1,£1.51,Private Prescription
TXN10487,10-May-2025,PARACETAMOL 500MG,pain relief,2,£1.11,PRIVATE PRESCRIPTION
TXN10884,2025-08-30,vitamin d 1000iu,Supplements,2,3.39,NHS Prescription
TXN10729,20/07/2025,  Cetirizine 10mg ,Allergy,2,1.27,OTC Sale
TXN10957,05-Aug-2025,Salbutamol Inhaler,Respiratory,1,£6.46,OTC Sale
TXN10746,23-Apr-2025,loratadine 10mg,  Allergy ,2,£1.39,Private Prescription
TXN10174,23-Sep-2025,Metformin 500mg,Diabetes,1,£1.93,Private Prescription
TXN10251,26/12/2025,Atorvastatin 20mg,Cardiovascular,1,2.66,NHS Prescription
TXN10400,2025-01-28,  Loratadine 10mg ,Allergy,1,1.25,OTC Sale
TXN10742,09/08/2025,LORATADINE 10MG,allergy,1,£1.42,OTC Sale
TXN10084,17-Oct-2025,Amoxicillin 250mg,Antibiotics,1,£3.34,Private Prescription
TXN11105,15/11/2025,amoxicillin 250mg,ANTIBIOTICS,4,3.18,NHS Prescription
TXN10004,08-Nov-2025,Ibuprofen 200mg,Pain Relief,1,£1.41,NHS Prescription
TXN10422,11/03/2025,LORATADINE 10MG,  Allergy ,2,£1.43,private prescription
TXN10723,25/08/2025,Salbutamol Inhaler,respiratory,3,£6.92,OTC Sale
TXN10327,2025-04-30,Paracetamol 500mg,Pain Relief,1,£1.1,NHS PRESCRIPTION
TXN10445,25-Oct-2025,Loratadine 10mg,Allergy,,1.36,OTC SALE
TXN11044,01-May-2025,Ibuprofen 200mg,pain relief,1,£1.5,OTC Sale
TXN10714,2025-12-06,Cetirizine 10mg,Allergy,1,£1.34,  NHS Prescription 
TXN10118,20-Mar-2025,Metformin 500mg,  Diabetes ,1,£2.01,NHS Prescription
TXN10212,2025-02-17,Amoxicillin 250mg,ANTIBIOTICS,1,3.06,NHS Prescription
TXN10021,2025-09-08,METFORMIN 500MG,DIABETES,3,1.83,Private Prescription
TXN10428,17-Dec-2025,Omeprazole 20mg,Gastro,2,2.29,private prescription
TXN10727,13/01/2025,Atorvastatin 20mg,Cardiovascular,1,2.71,OTC Sale
TXN10026,2025-06-19,METFORMIN 500MG,Diabetes,1,1.86,OTC SALE
TXN10450,30/03/2025,Loratadine 10mg,allergy,1,1.28,NHS PRESCRIPTION
TXN10299,30-Apr-2025,Atorvastatin 20mg,,1,£2.83,Private Prescription
TXN10507,2025-11-05,Loratadine 10mg,Allergy,1,£1.38,NHS Prescription
TXN10084,17-Oct-2025,Amoxicillin 250mg,Antibiotics,1,£3.34,Private Prescription
TXN10539,2025-11-11,IBUPROFEN 200MG,Pain Relief,1,,OTC Sale
TXN10607,2025-04-26,Omeprazole 20mg,Gastro,3,2.26,Private Prescription
TXN10990,17-Aug-2025,omeprazole 20mg,Gastro,4,£2.08,NHS Prescription
TXN10866,2025-09-22,Vitamin D 1000IU,supplements,1,3.82,Private Prescription
TXN10010,2025-02-05,Atorvastatin 20mg,Cardiovascular,2,2.86,otc sale
TXN10930,2025-03-21,vitamin d 1000iu,Supplements,1,3.43,OTC Sale
TXN11021,26/07/2025,Atorvastatin 20mg,Cardiovascular,2,£2.92,OTC SALE
TXN10842,2025-06-26,Amoxicillin 250mg,Antibiotics,1,£3.19,OTC Sale
TXN10892,13/09/2025,  Amoxicillin 250mg ,Antibiotics,1,3.4,OTC Sale
TXN10958,01-Nov-2025,Amoxicillin 250mg,Antibiotics,2,,NHS Prescription
TXN10008,22/03/2025,Salbutamol Inhaler,Respiratory,1,6.88,nhs prescription
TXN10779,06-Nov-2025,Amoxicillin 250mg,Antibiotics,1,£3.43,NHS Prescription
TXN10342,04-Jan-2025,Cetirizine 10mg,Allergy,4,1.25,NHS PRESCRIPTION
TXN10936,01/07/2025,Ibuprofen 200mg,Pain Relief,4,1.51,NHS Prescription
TXN11114,17/02/2025,CETIRIZINE 10MG,Allergy,1,£1.26,NHS Prescription
TXN10373,06-Jan-2025,Omeprazole 20mg,GASTRO,1,£2.24,OTC Sale
TXN10564,2025-09-13,Paracetamol 500mg,  Pain Relief ,2,1.11,NHS Prescription
TXN10052,2025-04-26,Metformin 500mg,Diabetes,1,£1.85,Private Prescription
TXN10040,24-Oct-2025,ibuprofen 200mg,Pain Relief,3,£1.57,Private Prescription
TXN10101,31-Dec-2025,IBUPROFEN 200MG,Pain Relief,3,£1.54,Private Prescription
TXN11002,2025-11-01,Atorvastatin 20mg,CARDIOVASCULAR,1,£2.71,  OTC Sale 
TXN10599,2025-04-30,Atorvastatin 20mg,Cardiovascular,1,£2.99,NHS Prescription
TXN10559,2025-06-30,Metformin 500mg,Diabetes,1,,private prescription
TXN11068,09-May-2025,Salbutamol Inhaler,Respiratory,1,6.83,NHS Prescription
TXN10819,2025-07-16,metformin 500mg,Diabetes,-1,2.08,PRIVATE PRESCRIPTION
TXN10253,19-Dec-2025,Omeprazole 20mg,GASTRO,-1,2.21,NHS Prescription
TXN10585,2025-06-05,OMEPRAZOLE 20MG,Gastro,1,2.06,OTC Sale
TXN11090,2025-07-28,Cetirizine 10mg,Allergy,1,1.27,PRIVATE PRESCRIPTION
TXN10800,28/12/2025,Amoxicillin 250mg,  Antibiotics ,3,3.24,NHS Prescription
TXN10764,2025-08-05,Salbutamol Inhaler,Respiratory,1,£6.41,NHS PRESCRIPTION
TXN10605,05/01/2025,Salbutamol Inhaler,Respiratory,3,£6.97,OTC SALE
TXN10968,17-Jun-2025,Salbutamol Inhaler,Respiratory,4,6.34,NHS Prescription
TXN10826,19-Feb-2025,Loratadine 10mg,Allergy,1,1.28,Private Prescription
TXN10703,2025-03-12,Amoxicillin 250mg,Antibiotics,1,3.45,Private Prescription
TXN11185,08-Dec-2025,atorvastatin 20mg,Cardiovascular,1,2.67,OTC Sale
TXN10590,06-Nov-2025,Cetirizine 10mg,,3,1.23,Private Prescription
TXN10474,2025-03-03,Metformin 500mg,DIABETES,2,2.03,OTC Sale
TXN10169,2025-06-03,Amoxicillin 250mg,Antibiotics,2,£3.27,NHS Prescription
TXN10024,02/04/2025,  Paracetamol 500mg ,PAIN RELIEF,2,1.16,nhs prescription
TXN10482,20/10/2025,Salbutamol Inhaler,respiratory,1,6.72,Private Prescription
TXN10384,2025-08-29,Atorvastatin 20mg,Cardiovascular,3,£3.04,Private Prescription
TXN10152,18-May-2025,Paracetamol 500mg,Pain Relief,2,£1.19,nhs prescription
TXN10195,16/04/2025,Cetirizine 10mg,Allergy,2,1.26,NHS Prescription
TXN10579,31/12/2025,Ibuprofen 200mg,Pain Relief,2,£1.5,OTC SALE
TXN10162,09/01/2025,  Loratadine 10mg ,Allergy,1,£1.37,OTC Sale
TXN10412,22-Jun-2025,Paracetamol 500mg,Pain Relief,1,1.15,OTC SALE
TXN10155,24/10/2025,Vitamin D 1000IU,Supplements,1,3.45,OTC Sale
TXN10960,21/01/2025,VITAMIN D 1000IU,supplements,1,£3.39,Private Prescription
TXN10411,13/03/2025,Omeprazole 20mg,Gastro,1,2.18,NHS PRESCRIPTION
TXN10153,02/03/2025,Omeprazole 20mg,Gastro,3,£2.22,Private Prescription
TXN10128,02-Aug-2025,Ibuprofen 200mg,Pain Relief,1,1.57,OTC SALE
TXN11107,2025-11-07,  Paracetamol 500mg ,PAIN RELIEF,1,£1.14,OTC Sale
TXN10099,30-Jul-2025,Paracetamol 500mg,pain relief,2,£1.12,NHS Prescription
TXN10229,18-Dec-2025,METFORMIN 500MG,Diabetes,1,£1.89,NHS PRESCRIPTION
TXN10219,11/07/2025,Ibuprofen 200mg,Pain Relief,1,£1.44,OTC Sale
TXN10019,03/10/2025,Ibuprofen 200mg,Pain Relief,1,£1.45,OTC Sale
TXN10597,21/02/2025,LORATADINE 10MG,Allergy,1,1.38,NHS Prescription
TXN10139,2025-12-09,Salbutamol Inhaler,  Respiratory ,1,£6.49,OTC SALE
TXN10863,01/07/2025,Vitamin D 1000IU,SUPPLEMENTS,1,£3.43,NHS Prescription
TXN10462,28/12/2025,Cetirizine 10mg,Allergy,1,1.32,OTC Sale
TXN10914,02/04/2025,Metformin 500mg,DIABETES,1,£2.06,OTC Sale
TXN10681,2025-07-31,ATORVASTATIN 20MG,Cardiovascular,1,2.84,OTC Sale
TXN10948,03/08/2025,Salbutamol Inhaler,,3,6.55,nhs prescription
TXN10916,2025-01-23,Salbutamol Inhaler,Respiratory,1,6.83,OTC Sale
TXN10708,2025-08-09,Metformin 500mg,  Diabetes ,1,£1.91,OTC Sale
TXN10775,03-Jun-2025,Amoxicillin 250mg,ANTIBIOTICS,3,3.28,Private Prescription
TXN10620,2025-03-05,Cetirizine 10mg,ALLERGY,1,1.2,NHS Prescription
TXN10224,07/02/2025,Ibuprofen 200mg,Pain Relief,1,1.54,otc sale
TXN11145,2025-12-23,amoxicillin 250mg,Antibiotics,2,£3.41,OTC Sale
TXN10324,30-May-2025,Salbutamol Inhaler,Respiratory,-1,6.54,  NHS Prescription 
TXN10880,21-Feb-2025,amoxicillin 250mg,Antibiotics,1,3.34,  Private Prescription 
TXN10633,16/06/2025,Amoxicillin 250mg,ANTIBIOTICS,1,,otc sale
TXN10615,12/10/2025,PARACETAMOL 500MG,Pain Relief,2,£1.07,Private Prescription
TXN10824,01/03/2025,Salbutamol Inhaler,,1,6.78,  Private Prescription 
TXN11178,10/07/2025,LORATADINE 10MG,Allergy,,1.28,NHS Prescription
TXN10484,17/05/2025,Omeprazole 20mg,Gastro,2,£2.13,NHS PRESCRIPTION
TXN10734,16-Jul-2025,AMOXICILLIN 250MG,Antibiotics,3,£3.16,PRIVATE PRESCRIPTION
TXN10180,22/10/2025,Amoxicillin 250mg,ANTIBIOTICS,1,3.3,NHS Prescription
TXN10879,09-Jan-2025,Omeprazole 20mg,Gastro,2,£2.18,otc sale
TXN10604,2025-01-01,Vitamin D 1000IU,Supplements,1,3.77,otc sale
TXN10846,02-Feb-2025,Omeprazole 20mg,Gastro,1,2.07,nhs prescription
TXN10132,28-May-2025,  Cetirizine 10mg ,Allergy,2,1.28,Private Prescription
TXN11035,2025-03-18,Amoxicillin 250mg,Antibiotics,1,£3.19,  OTC Sale 
TXN10347,24-Dec-2025,salbutamol inhaler,Respiratory,2,£6.37,Private Prescription
TXN11164,15-Sep-2025,Metformin 500mg,Diabetes,3,2.0,Private Prescription
