transaction_id,date,product_name,category,quantity,unit_price,payment_type,revenue,month,day_of_week
TXN10827,2025-01-07,Metformin 500mg,Diabetes,1,1.93,OTC Sale,1.93,2025-01,Tuesday
TXN11064,2025-01-08,Salbutamol Inhaler,Respiratory,2,6.75,Private Prescription,13.5,2025-01,Wednesday
TXN10162,2025-01-09,Loratadine 10mg,Allergy,1,1.37,OTC Sale,1.37,2025-01,Thursday
TXN10468,2025-01-09,Metformin 500mg,Diabetes,1,1.99,Private Prescription,1.99,2025-01,Thursday
TXN10879,2025-01-09,Omeprazole 20mg,Gastro,2,2.18,OTC Sale,4.36,2025-01,Thursday
TXN10532,2025-01-10,Omeprazole 20mg,Gastro,1,2.03,NHS Prescription,2.03,2025-01,Friday
TXN10954,2025-01-10,Atorvastatin 20mg,Cardiovascular,1,2.98,NHS Prescription,2.98,2025-01,Friday
TXN10396,2025-01-10,Loratadine 10mg,Allergy,1,1.33,OTC Sale,1.33,2025-01,Friday
TXN11002,2025-01-11,Atorvastatin 20mg,Cardiovascular,1,2.71,OTC Sale,2.71,2025-01,Saturday
TXN10712,2025-01-11,Loratadine 10mg,Allergy,4,1.27,NHS Prescription,5.08,2025-01,Saturday
TXN10834,2025-01-12,Vitamin D 1000IU,Supplements,1,3.77,NHS Prescription,3.77,2025-01,Sunday
TXN10000,2025-01-13,Ibuprofen 200mg,Pain Relief,1,1.4,NHS Prescription,1.4,2025-01,Monday
TXN10727,2025-01-13,Atorvastatin 20mg,Cardiovascular,1,2.71,OTC Sale,2.71,2025-01,Monday
TXN10837,2025-01-13,Metformin 500mg,Diabetes,1,1.89,Private Prescription,1.89,2025-01,Monday
TXN11182,2025-01-13,Omeprazole 20mg,Gastro,1,2.16,OTC Sale,2.16,2025-01,Monday
TXN10983,2025-01-14,Atorvastatin 20mg,Cardiovascular,1,3.04,Private Prescription,3.04,2025-01,Tuesday
TXN10896,2025-01-14,Cetirizine 10mg,Allergy,1,1.27,OTC Sale,1.27,2025-01,Tuesday
TXN10464,2025-01-14,Vitamin D 1000IU,Supplements,1,3.51,OTC Sale,3.51,2025-01,Tuesday
TXN11073,2025-01-14,Amoxicillin 250mg,Antibiotics,4,3.36,NHS Prescription,13.44,2025-01,Tuesday
TXN10865,2025-01-14,Salbutamol Inhaler,Respiratory,3,6.38,NHS Prescription,19.14,2025-01,Tuesday
TXN10308,2025-01-15,Vitamin D 1000IU,Supplements,1,3.66,OTC Sale,3.66,2025-01,Wednesday
TXN10777,2025-01-15,Omeprazole 20mg,Gastro,1,2.26,Private Prescription,2.26,2025-01,Wednesday
TXN10382,2025-01-15,Amoxicillin 250mg,Antibiotics,3,3.22,OTC Sale,9.66,2025-01,Wednesday
TXN10064,2025-01-15,Cetirizine 10mg,Allergy,1,1.25,Private Prescription,1.25,2025-01,Wednesday
TXN10908,2025-01-16,Atorvastatin 20mg,Cardiovascular,1,3.06,NHS Prescription,3.06,2025-01,Thursday
TXN10357,2025-01-16,Amoxicillin 250mg,Antibiotics,3,3.24,OTC Sale,9.72,2025-01,Thursday
TXN10391,2025-01-16,Cetirizine 10mg,Allergy,1,1.3,Private Prescription,1.3,2025-01,Thursday
TXN11116,2025-01-16,Paracetamol 500mg,Pain Relief,1,1.05,Private Prescription,1.05,2025-01,Thursday
TXN10074,2025-01-17,Cetirizine 10mg,Allergy,1,1.23,NHS Prescription,1.23,2025-01,Friday
TXN10399,2025-01-17,Metformin 500mg,Diabetes,4,1.97,NHS Prescription,7.88,2025-01,Friday
TXN10112,2025-01-18,Atorvastatin 20mg,Cardiovascular,1,2.81,NHS Prescription,2.81,2025-01,Saturday
TXN11170,2025-01-19,Omeprazole 20mg,Gastro,1,2.1,NHS Prescription,2.1,2025-01,Sunday
TXN10261,2025-01-19,Salbutamol Inhaler,Respiratory,1,6.95,Private Prescription,6.95,2025-01,Sunday
TXN10960,2025-01-21,Vitamin D 1000IU,Supplements,1,3.39,Private Prescription,3.39,2025-01,Tuesday
TXN11103,2025-01-22,Paracetamol 500mg,Pain Relief,3,1.19,Private Prescription,3.57,2025-01,Wednesday
TXN10331,2025-01-22,Paracetamol 500mg,Pain Relief,2,1.14,OTC Sale,2.28,2025-01,Wednesday
TXN10577,2025-01-23,Amoxicillin 250mg,Antibiotics,1,3.19,Private Prescription,3.19,2025-01,Thursday
TXN10916,2025-01-23,Salbutamol Inhaler,Respiratory,1,6.83,OTC Sale,6.83,2025-01,Thursday
TXN10349,2025-01-23,Atorvastatin 20mg,Cardiovascular,1,2.98,Private Prescription,2.98,2025-01,Thursday
TXN10078,2025-01-23,Vitamin D 1000IU,Supplements,1,3.83,NHS Prescription,3.83,2025-01,Thursday
TXN10106,2025-01-23,Atorvastatin 20mg,Cardiovascular,1,2.97,Private Prescription,2.97,2025-01,Thursday
TXN10336,2025-01-23,Ibuprofen 200mg,Pain Relief,1,1.4,Private Prescription,1.4,2025-01,Thursday
TXN10529,2025-01-24,Vitamin D 1000IU,Supplements,3,3.55,NHS Prescription,10.65,2025-01,Friday
TXN10733,2025-01-24,Ibuprofen 200mg,Pain Relief,3,1.4,NHS Prescription,4.2,2025-01,Friday
TXN10519,2025-01-25,Ibuprofen 200mg,Pain Relief,3,1.5,OTC Sale,4.5,2025-01,Saturday
TXN11014,2025-01-25,Amoxicillin 250mg,Antibiotics,1,3.45,NHS Prescription,3.45,2025-01,Saturday
TXN10622,2025-01-25,Ibuprofen 200mg,Pain Relief,1,1.42,NHS Prescription,1.42,2025-01,Saturday
TXN10686,2025-01-27,Salbutamol Inhaler,Respiratory,1,6.56,OTC Sale,6.56,2025-01,Monday
TXN10531,2025-01-27,Ibuprofen 200mg,Pain Relief,1,1.43,Private Prescription,1.43,2025-01,Monday
TXN10082,2025-01-27,Salbutamol Inhaler,Respiratory,2,6.74,Private Prescription,13.48,2025-01,Monday
TXN10937,2025-01-27,Amoxicillin 250mg,Antibiotics,1,3.26,NHS Prescription,3.26,2025-01,Monday
TXN11079,2025-01-28,Amoxicillin 250mg,Antibiotics,1,3.42,Private Prescription,3.42,2025-01,Tuesday
TXN10724,2025-01-28,Cetirizine 10mg,Allergy,1,1.27,Private Prescription,1.27,2025-01,Tuesday
TXN10550,2025-01-28,Metformin 500mg,Diabetes,1,1.99,Private Prescription,1.99,2025-01,Tuesday
TXN10102,2025-01-28,Salbutamol Inhaler,Respiratory,1,7.14,NHS Prescription,7.14,2025-01,Tuesday
TXN10400,2025-01-28,Loratadine 10mg,Allergy,1,1.25,OTC Sale,1.25,2025-01,Tuesday
TXN10312,2025-01-28,Amoxicillin 250mg,Antibiotics,2,3.3,Private Prescription,6.6,2025-01,Tuesday
TXN10216,2025-01-29,Metformin 500mg,Diabetes,1,1.92,NHS Prescription,1.92,2025-01,Wednesday
TXN10375,2025-01-29,Salbutamol Inhaler,Respiratory,1,6.48,NHS Prescription,6.48,2025-01,Wednesday
TXN10853,2025-01-29,Salbutamol Inhaler,Respiratory,1,7.13,NHS Prescription,7.13,2025-01,Wednesday
TXN10368,2025-01-29,Amoxicillin 250mg,Antibiotics,1,3.06,OTC Sale,3.06,2025-01,Wednesday
TXN10463,2025-01-29,Metformin 500mg,Diabetes,1,1.91,Private Prescription,1.91,2025-01,Wednesday
TXN10236,2025-01-30,Omeprazole 20mg,Gastro,1,2.11,Private Prescription,2.11,2025-01,Thursday
TXN10151,2025-01-30,Atorvastatin 20mg,Cardiovascular,1,2.88,OTC Sale,2.88,2025-01,Thursday
TXN10316,2025-01-31,Amoxicillin 250mg,Antibiotics,2,3.34,Private Prescription,6.68,2025-01,Friday
TXN10050,2025-01-31,Vitamin D 1000IU,Supplements,4,3.59,Private Prescription,14.36,2025-01,Friday
TXN10186,2025-01-31,Salbutamol Inhaler,Respiratory,3,7.02,OTC Sale,21.06,2025-01,Friday
TXN10774,2025-02-01,Omeprazole 20mg,Gastro,1,2.06,OTC Sale,2.06,2025-02,Saturday
TXN10655,2025-02-01,Ibuprofen 200mg,Pain Relief,2,1.41,Private Prescription,2.82,2025-02,Saturday
TXN11074,2025-02-01,Atorvastatin 20mg,Cardiovascular,1,2.67,NHS Prescription,2.67,2025-02,Saturday
TXN10146,2025-02-01,Omeprazole 20mg,Gastro,4,2.22,OTC Sale,8.88,2025-02,Saturday
TXN10922,2025-02-02,Metformin 500mg,Diabetes,1,1.99,Private Prescription,1.99,2025-02,Sunday
TXN10846,2025-02-02,Omeprazole 20mg,Gastro,1,2.07,NHS Prescription,2.07,2025-02,Sunday
TXN10290,2025-02-02,Omeprazole 20mg,Gastro,1,2.06,NHS Prescription,2.06,2025-02,Sunday
TXN11048,2025-02-02,Ibuprofen 200mg,Pain Relief,1,1.55,Private Prescription,1.55,2025-02,Sunday
TXN10079,2025-02-03,Amoxicillin 250mg,Antibiotics,1,3.3,OTC Sale,3.3,2025-02,Monday
TXN10546,2025-02-03,Salbutamol Inhaler,Respiratory,2,6.46,Private Prescription,12.92,2025-02,Monday
TXN10252,2025-02-03,Vitamin D 1000IU,Supplements,1,3.43,OTC Sale,3.43,2025-02,Monday
TXN10753,2025-02-04,Cetirizine 10mg,Allergy,1,1.27,OTC Sale,1.27,2025-02,Tuesday
TXN11020,2025-02-04,Atorvastatin 20mg,Cardiovascular,1,2.87,OTC Sale,2.87,2025-02,Tuesday
TXN10989,2025-02-04,Salbutamol Inhaler,Respiratory,1,6.82,OTC Sale,6.82,2025-02,Tuesday
TXN10985,2025-02-05,Atorvastatin 20mg,Cardiovascular,1,2.9,Private Prescription,2.9,2025-02,Wednesday
TXN10328,2025-02-06,Salbutamol Inhaler,Respiratory,1,7.0,OTC Sale,7.0,2025-02,Thursday
TXN10918,2025-02-06,Omeprazole 20mg,Gastro,1,2.24,Private Prescription,2.24,2025-02,Thursday
TXN11101,2025-02-07,Amoxicillin 250mg,Antibiotics,1,3.24,OTC Sale,3.24,2025-02,Friday
TXN10224,2025-02-07,Ibuprofen 200mg,Pain Relief,1,1.54,OTC Sale,1.54,2025-02,Friday
TXN10220,2025-02-07,Vitamin D 1000IU,Supplements,2,3.52,OTC Sale,7.04,2025-02,Friday
TXN11147,2025-02-08,Salbutamol Inhaler,Respiratory,4,6.74,OTC Sale,26.96,2025-02,Saturday
TXN11043,2025-02-08,Metformin 500mg,Diabetes,1,2.03,OTC Sale,2.03,2025-02,Saturday
TXN10793,2025-02-09,Omeprazole 20mg,Gastro,1,2.08,OTC Sale,2.08,2025-02,Sunday
TXN10690,2025-02-09,Ibuprofen 200mg,Pain Relief,2,1.42,Private Prescription,2.84,2025-02,Sunday
TXN10959,2025-02-09,Metformin 500mg,Diabetes,1,1.91,Private Prescription,1.91,2025-02,Sunday
TXN10872,2025-02-10,Salbutamol Inhaler,Respiratory,1,6.8,OTC Sale,6.8,2025-02,Monday
TXN10486,2025-02-11,Salbutamol Inhaler,Respiratory,1,6.23,OTC Sale,6.23,2025-02,Tuesday
TXN10142,2025-02-11,Vitamin D 1000IU,Supplements,1,3.37,OTC Sale,3.37,2025-02,Tuesday
TXN11081,2025-02-11,Metformin 500mg,Diabetes,1,2.09,OTC Sale,2.09,2025-02,Tuesday
TXN11117,2025-02-11,Ibuprofen 200mg,Pain Relief,1,1.56,Private Prescription,1.56,2025-02,Tuesday
TXN10017,2025-02-11,Metformin 500mg,Diabetes,1,2.05,OTC Sale,2.05,2025-02,Tuesday
TXN10591,2025-02-11,Vitamin D 1000IU,Supplements,3,3.41,Private Prescription,10.23,2025-02,Tuesday
TXN10811,2025-02-11,Cetirizine 10mg,Allergy,1,1.33,Private Prescription,1.33,2025-02,Tuesday
TXN10543,2025-02-11,Loratadine 10mg,Allergy,2,1.28,NHS Prescription,2.56,2025-02,Tuesday
TXN10817,2025-02-12,Ibuprofen 200mg,Pain Relief,2,1.45,Private Prescription,2.9,2025-02,Wednesday
TXN10562,2025-02-12,Vitamin D 1000IU,Supplements,1,3.72,OTC Sale,3.72,2025-02,Wednesday
TXN10887,2025-02-12,Loratadine 10mg,Allergy,1,1.28,OTC Sale,1.28,2025-02,Wednesday
TXN10295,2025-02-13,Cetirizine 10mg,Allergy,1,1.35,Private Prescription,1.35,2025-02,Thursday
TXN10049,2025-02-13,Cetirizine 10mg,Allergy,1,1.3,Private Prescription,1.3,2025-02,Thursday
TXN10094,2025-02-13,Loratadine 10mg,Allergy,2,1.37,Private Prescription,2.74,2025-02,Thursday
TXN10935,2025-02-13,Loratadine 10mg,Allergy,1,1.29,Private Prescription,1.29,2025-02,Thursday
TXN10231,2025-02-14,Ibuprofen 200mg,Pain Relief,1,1.56,NHS Prescription,1.56,2025-02,Friday
TXN10441,2025-02-14,Metformin 500mg,Diabetes,2,2.09,OTC Sale,4.18,2025-02,Friday
TXN10279,2025-02-14,Paracetamol 500mg,Pain Relief,1,1.14,Private Prescription,1.14,2025-02,Friday
TXN10089,2025-02-15,Loratadine 10mg,Allergy,2,1.35,OTC Sale,2.7,2025-02,Saturday
TXN11109,2025-02-15,Atorvastatin 20mg,Cardiovascular,1,2.81,Private Prescription,2.81,2025-02,Saturday
TXN10348,2025-02-15,Vitamin D 1000IU,Supplements,2,3.51,Private Prescription,7.02,2025-02,Saturday
TXN10075,2025-02-16,Atorvastatin 20mg,Cardiovascular,1,3.07,NHS Prescription,3.07,2025-02,Sunday
TXN10081,2025-02-16,Ibuprofen 200mg,Pain Relief,1,1.54,OTC Sale,1.54,2025-02,Sunday
TXN10905,2025-02-16,Atorvastatin 20mg,Cardiovascular,1,2.81,OTC Sale,2.81,2025-02,Sunday
TXN11114,2025-02-17,Cetirizine 10mg,Allergy,1,1.26,NHS Prescription,1.26,2025-02,Monday
TXN11056,2025-02-17,Salbutamol Inhaler,Respiratory,1,6.31,NHS Prescription,6.31,2025-02,Monday
TXN11166,2025-02-17,Vitamin D 1000IU,Supplements,2,3.41,OTC Sale,6.82,2025-02,Monday
TXN10097,2025-02-17,Metformin 500mg,Diabetes,2,1.81,Private Prescription,3.62,2025-02,Monday
TXN10566,2025-02-17,Cetirizine 10mg,Allergy,1,1.19,Private Prescription,1.19,2025-02,Monday
TXN10212,2025-02-17,Amoxicillin 250mg,Antibiotics,1,3.06,NHS Prescription,3.06,2025-02,Monday
TXN11120,2025-02-17,Metformin 500mg,Diabetes,2,1.95,OTC Sale,3.9,2025-02,Monday
TXN10320,2025-02-18,Ibuprofen 200mg,Pain Relief,3,1.39,Private Prescription,4.17,2025-02,Tuesday
TXN10344,2025-02-18,Vitamin D 1000IU,Supplements,2,3.75,NHS Prescription,7.5,2025-02,Tuesday
TXN10904,2025-02-18,Ibuprofen 200mg,Pain Relief,1,1.46,Private Prescription,1.46,2025-02,Tuesday
TXN10906,2025-02-18,Loratadine 10mg,Allergy,1,1.24,NHS Prescription,1.24,2025-02,Tuesday
TXN10826,2025-02-19,Loratadine 10mg,Allergy,1,1.28,Private Prescription,1.28,2025-02,Wednesday
TXN11033,2025-02-19,Metformin 500mg,Diabetes,2,1.81,OTC Sale,3.62,2025-02,Wednesday
TXN10453,2025-02-20,Ibuprofen 200mg,Pain Relief,2,1.53,OTC Sale,3.06,2025-02,Thursday
TXN11188,2025-02-20,Salbutamol Inhaler,Respiratory,1,6.22,OTC Sale,6.22,2025-02,Thursday
TXN10597,2025-02-21,Loratadine 10mg,Allergy,1,1.38,NHS Prescription,1.38,2025-02,Friday
TXN11104,2025-02-21,Omeprazole 20mg,Gastro,2,2.1,Private Prescription,4.2,2025-02,Friday
TXN10232,2025-02-21,Vitamin D 1000IU,Supplements,1,3.48,NHS Prescription,3.48,2025-02,Friday
TXN10880,2025-02-21,Amoxicillin 250mg,Antibiotics,1,3.34,Private Prescription,3.34,2025-02,Friday
TXN10781,2025-02-22,Metformin 500mg,Diabetes,1,1.85,Private Prescription,1.85,2025-02,Saturday
TXN11181,2025-02-22,Atorvastatin 20mg,Cardiovascular,1,2.8,NHS Prescription,2.8,2025-02,Saturday
TXN11070,2025-02-22,Ibuprofen 200mg,Pain Relief,4,1.53,Private Prescription,6.12,2025-02,Saturday
TXN10270,2025-02-22,Atorvastatin 20mg,Cardiovascular,3,3.02,NHS Prescription,9.06,2025-02,Saturday
TXN11126,2025-02-22,Amoxicillin 250mg,Antibiotics,1,3.51,Private Prescription,3.51,2025-02,Saturday
TXN11169,2025-02-23,Salbutamol Inhaler,Respiratory,3,6.78,NHS Prescription,20.34,2025-02,Sunday
TXN10912,2025-02-23,Atorvastatin 20mg,Cardiovascular,1,2.79,Private Prescription,2.79,2025-02,Sunday
TXN11039,2025-02-23,Paracetamol 500mg,Pain Relief,2,1.08,OTC Sale,2.16,2025-02,Sunday
TXN10707,2025-02-24,Atorvastatin 20mg,Cardiovascular,1,2.74,NHS Prescription,2.74,2025-02,Monday
TXN11141,2025-02-24,Metformin 500mg,Diabetes,2,1.81,Private Prescription,3.62,2025-02,Monday
TXN10592,2025-02-25,Ibuprofen 200mg,Pain Relief,1,1.55,NHS Prescription,1.55,2025-02,Tuesday
TXN10352,2025-02-25,Loratadine 10mg,Allergy,1,1.31,NHS Prescription,1.31,2025-02,Tuesday
TXN10459,2025-02-25,Atorvastatin 20mg,Cardiovascular,1,2.92,OTC Sale,2.92,2025-02,Tuesday
TXN11125,2025-02-25,Metformin 500mg,Diabetes,3,1.95,OTC Sale,5.85,2025-02,Tuesday
TXN10086,2025-02-26,Salbutamol Inhaler,Respiratory,2,6.69,NHS Prescription,13.38,2025-02,Wednesday
TXN11098,2025-02-27,Salbutamol Inhaler,Respiratory,1,7.08,OTC Sale,7.08,2025-02,Thursday
TXN10432,2025-02-27,Cetirizine 10mg,Allergy,1,1.29,OTC Sale,1.29,2025-02,Thursday
TXN10885,2025-02-27,Cetirizine 10mg,Allergy,1,1.35,OTC Sale,1.35,2025-02,Thursday
TXN10867,2025-02-27,Metformin 500mg,Diabetes,1,1.92,Private Prescription,1.92,2025-02,Thursday
TXN10363,2025-02-27,Metformin 500mg,Diabetes,2,2.0,NHS Prescription,4.0,2025-02,Thursday
TXN10465,2025-02-28,Cetirizine 10mg,Allergy,1,1.19,Private Prescription,1.19,2025-02,Friday
TXN10679,2025-02-28,Loratadine 10mg,Allergy,1,1.24,NHS Prescription,1.24,2025-02,Friday
TXN10414,2025-02-28,Ibuprofen 200mg,Pain Relief,1,1.39,OTC Sale,1.39,2025-02,Friday
TXN10573,2025-02-28,Cetirizine 10mg,Allergy,1,1.28,NHS Prescription,1.28,2025-02,Friday
TXN10307,2025-03-01,Loratadine 10mg,Allergy,4,1.39,Private Prescription,5.56,2025-03,Saturday
TXN10824,2025-03-01,Salbutamol Inhaler,Respiratory,1,6.78,Private Prescription,6.78,2025-03,Saturday
TXN10523,2025-03-02,Metformin 500mg,Diabetes,1,1.85,NHS Prescription,1.85,2025-03,Sunday
TXN10153,2025-03-02,Omeprazole 20mg,Gastro,3,2.22,Private Prescription,6.66,2025-03,Sunday
TXN10924,2025-03-03,Vitamin D 1000IU,Supplements,2,3.61,OTC Sale,7.22,2025-03,Monday
TXN10474,2025-03-03,Metformin 500mg,Diabetes,2,2.03,OTC Sale,4.06,2025-03,Monday
TXN10041,2025-03-03,Vitamin D 1000IU,Supplements,2,3.55,Private Prescription,7.1,2025-03,Monday
TXN11179,2025-03-04,Metformin 500mg,Diabetes,1,2.01,OTC Sale,2.01,2025-03,Tuesday
TXN10692,2025-03-04,Cetirizine 10mg,Allergy,2,1.28,OTC Sale,2.56,2025-03,Tuesday
TXN10745,2025-03-04,Atorvastatin 20mg,Cardiovascular,1,2.94,OTC Sale,2.94,2025-03,Tuesday
TXN10426,2025-03-05,Cetirizine 10mg,Allergy,4,1.31,OTC Sale,5.24,2025-03,Wednesday
TXN10625,2025-03-05,Ibuprofen 200mg,Pain Relief,1,1.54,OTC Sale,1.54,2025-03,Wednesday
TXN10671,2025-03-05,Amoxicillin 250mg,Antibiotics,1,3.18,Private Prescription,3.18,2025-03,Wednesday
TXN11177,2025-03-05,Paracetamol 500mg,Pain Relief,2,1.11,OTC Sale,2.22,2025-03,Wednesday
TXN10581,2025-03-05,Vitamin D 1000IU,Supplements,1,3.45,OTC Sale,3.45,2025-03,Wednesday
TXN10669,2025-03-05,Salbutamol Inhaler,Respiratory,4,7.11,NHS Prescription,28.44,2025-03,Wednesday
TXN10071,2025-03-05,Metformin 500mg,Diabetes,1,1.88,OTC Sale,1.88,2025-03,Wednesday
TXN10169,2025-03-06,Amoxicillin 250mg,Antibiotics,2,3.27,NHS Prescription,6.54,2025-03,Thursday
TXN10117,2025-03-06,Ibuprofen 200mg,Pain Relief,2,1.53,NHS Prescription,3.06,2025-03,Thursday
TXN10618,2025-03-07,Cetirizine 10mg,Allergy,1,1.24,OTC Sale,1.24,2025-03,Friday
TXN10560,2025-03-07,Ibuprofen 200mg,Pain Relief,1,1.5,NHS Prescription,1.5,2025-03,Friday
TXN10788,2025-03-07,Salbutamol Inhaler,Respiratory,1,6.34,OTC Sale,6.34,2025-03,Friday
TXN11034,2025-03-08,Salbutamol Inhaler,Respiratory,2,6.82,NHS Prescription,13.64,2025-03,Saturday
TXN11123,2025-03-09,Loratadine 10mg,Allergy,1,1.3,OTC Sale,1.3,2025-03,Sunday
TXN11163,2025-03-10,Ibuprofen 200mg,Pain Relief,1,1.57,OTC Sale,1.57,2025-03,Monday
TXN11061,2025-03-10,Salbutamol Inhaler,Respiratory,1,6.18,NHS Prescription,6.18,2025-03,Monday
TXN10370,2025-03-10,Atorvastatin 20mg,Cardiovascular,2,2.88,NHS Prescription,5.76,2025-03,Monday
TXN10060,2025-03-10,Atorvastatin 20mg,Cardiovascular,1,2.89,Private Prescription,2.89,2025-03,Monday
TXN10447,2025-03-11,Ibuprofen 200mg,Pain Relief,1,1.56,NHS Prescription,1.56,2025-03,Tuesday
TXN10422,2025-03-11,Loratadine 10mg,Allergy,2,1.43,Private Prescription,2.86,2025-03,Tuesday
TXN11108,2025-03-11,Salbutamol Inhaler,Respiratory,2,6.92,OTC Sale,13.84,2025-03,Tuesday
TXN10997,2025-03-12,Vitamin D 1000IU,Supplements,1,3.84,OTC Sale,3.84,2025-03,Wednesday
TXN10833,2025-03-12,Omeprazole 20mg,Gastro,2,2.18,Private Prescription,4.36,2025-03,Wednesday
TXN10883,2025-03-13,Cetirizine 10mg,Allergy,1,1.36,OTC Sale,1.36,2025-03,Thursday
TXN10882,2025-03-13,Salbutamol Inhaler,Respiratory,1,7.12,Private Prescription,7.12,2025-03,Thursday
TXN10411,2025-03-13,Omeprazole 20mg,Gastro,1,2.18,NHS Prescription,2.18,2025-03,Thursday
TXN10283,2025-03-14,Metformin 500mg,Diabetes,1,1.88,Private Prescription,1.88,2025-03,Friday
TXN11095,2025-03-14,Omeprazole 20mg,Gastro,1,2.14,NHS Prescription,2.14,2025-03,Friday
TXN10417,2025-03-15,Omeprazole 20mg,Gastro,1,2.07,Private Prescription,2.07,2025-03,Saturday
TXN10457,2025-03-15,Ibuprofen 200mg,Pain Relief,1,1.4,NHS Prescription,1.4,2025-03,Saturday
TXN10728,2025-03-16,Salbutamol Inhaler,Respiratory,1,6.9,OTC Sale,6.9,2025-03,Sunday
TXN10401,2025-03-16,Cetirizine 10mg,Allergy,3,1.36,Private Prescription,4.08,2025-03,Sunday
TXN10838,2025-03-16,Ibuprofen 200mg,Pain Relief,2,1.55,NHS Prescription,3.1,2025-03,Sunday
TXN11038,2025-03-17,Loratadine 10mg,Allergy,3,1.35,OTC Sale,4.05,2025-03,Monday
TXN11035,2025-03-18,Amoxicillin 250mg,Antibiotics,1,3.19,OTC Sale,3.19,2025-03,Tuesday
TXN10791,2025-03-18,Amoxicillin 250mg,Antibiotics,1,3.19,NHS Prescription,3.19,2025-03,Tuesday
TXN10159,2025-03-18,Metformin 500mg,Diabetes,1,2.04,Private Prescription,2.04,2025-03,Tuesday
TXN11199,2025-03-19,Cetirizine 10mg,Allergy,1,1.25,OTC Sale,1.25,2025-03,Wednesday
TXN10205,2025-03-19,Omeprazole 20mg,Gastro,3,2.17,OTC Sale,6.51,2025-03,Wednesday
TXN10039,2025-03-20,Vitamin D 1000IU,Supplements,1,3.62,NHS Prescription,3.62,2025-03,Thursday
TXN10226,2025-03-20,Atorvastatin 20mg,Cardiovascular,1,2.78,Private Prescription,2.78,2025-03,Thursday
TXN10118,2025-03-20,Metformin 500mg,Diabetes,1,2.01,NHS Prescription,2.01,2025-03,Thursday
TXN10530,2025-03-20,Ibuprofen 200mg,Pain Relief,4,1.39,Private Prescription,5.56,2025-03,Thursday
TXN10909,2025-03-21,Vitamin D 1000IU,Supplements,3,3.81,NHS Prescription,11.43,2025-03,Friday
TXN10343,2025-03-21,Loratadine 10mg,Allergy,1,1.28,Private Prescription,1.28,2025-03,Friday
TXN11158,2025-03-21,Amoxicillin 250mg,Antibiotics,4,3.14,OTC Sale,12.56,2025-03,Friday
TXN10586,2025-03-21,Salbutamol Inhaler,Respiratory,1,7.01,Private Prescription,7.01,2025-03,Friday
TXN10623,2025-03-21,Metformin 500mg,Diabetes,1,2.01,Private Prescription,2.01,2025-03,Friday
TXN10930,2025-03-21,Vitamin D 1000IU,Supplements,1,3.43,OTC Sale,3.43,2025-03,Friday
TXN10225,2025-03-22,Salbutamol Inhaler,Respiratory,1,6.36,Private Prescription,6.36,2025-03,Saturday
TXN10008,2025-03-22,Salbutamol Inhaler,Respiratory,1,6.88,NHS Prescription,6.88,2025-03,Saturday
TXN10780,2025-03-22,Omeprazole 20mg,Gastro,1,2.09,NHS Prescription,2.09,2025-03,Saturday
